Route_ID,Time,Day,Weather,Traffic_Volume,Congestion_Level
8,04:19,Weekend,Clear,942,Medium
16,23:40,Weekend,Clear,1394,Medium
16,05:15,Weekend,Clear,846,Medium
6,06:56,Weekday,Clear,1970,High
1,20:56,Weekday,Clear,1737,High
14,15:53,Weekend,Clear,672,Low
13,13:29,Weekday,Clear,568,Low
10,09:44,Weekday,Clear,1348,High
16,08:16,Weekday,Foggy,1459,High
12,07:44,Weekday,Clear,150,Medium
10,01:05,Weekday,Foggy,1409,High
14,14:51,Weekday,Clear,1573,High
6,22:05,Weekday,Rainy,328,Medium
7,08:51,Weekday,Rainy,1969,High
9,19:23,Weekend,Clear,644,Medium
10,16:42,Weekday,Clear,1293,Medium
6,09:51,Weekday,Clear,890,High
10,04:46,Weekday,Clear,355,Low
10,16:01,Weekday,Clear,1209,Medium
7,07:23,Weekend,Clear,1429,High
17,00:15,Weekday,Rainy,1567,High
19,20:02,Weekend,Clear,1008,Medium
15,01:46,Weekday,Clear,1919,High
13,02:37,Weekday,Clear,1014,Medium
4,02:46,Weekend,Clear,1604,Medium
8,21:27,Weekday,Foggy,927,High
15,11:13,Weekday,Clear,118,Low
15,02:21,Weekday,Foggy,814,High
19,05:43,Weekend,Clear,230,Low
16,05:16,Weekday,Clear,1330,Medium
10,08:23,Weekday,Foggy,330,High
16,06:05,Weekend,Clear,1268,Medium
8,18:31,Weekend,Foggy,897,High
9,20:54,Weekend,Clear,1763,Medium
4,18:12,Weekday,Foggy,1066,High
7,03:12,Weekday,Clear,1059,Medium
8,20:49,Weekend,Rainy,1036,Medium
16,14:52,Weekday,Rainy,1629,High
15,18:32,Weekend,Clear,1133,High
3,03:05,Weekend,Clear,258,Low
5,02:49,Weekend,Clear,771,Low
6,11:56,Weekend,Clear,743,Low
8,04:11,Weekend,Foggy,985,Medium
7,14:31,Weekday,Clear,1755,High
7,13:17,Weekday,Clear,1379,Medium
3,19:42,Weekday,Clear,1253,High
17,19:31,Weekday,Clear,114,Medium
19,09:58,Weekend,Clear,1588,High
9,23:31,Weekend,Clear,1402,Medium
15,12:54,Weekend,Rainy,971,Medium
15,03:32,Weekend,Foggy,1723,Medium
15,14:46,Weekday,Rainy,1789,High
13,04:58,Weekday,Clear,1404,Medium
10,05:45,Weekend,Clear,1722,Medium
12,23:18,Weekend,Rainy,805,Medium
17,15:25,Weekday,Rainy,1281,High
16,06:00,Weekday,Clear,1715,High
14,16:51,Weekday,Rainy,849,High
10,20:11,Weekend,Clear,1293,Medium
1,16:03,Weekend,Rainy,733,Medium
8,06:41,Weekday,Clear,565,Low
8,22:23,Weekend,Rainy,654,Medium
18,20:53,Weekday,Clear,118,Low
7,03:28,Weekend,Rainy,286,Medium
8,09:23,Weekday,Clear,331,Medium
6,02:40,Weekend,Foggy,1180,Medium
18,22:27,Weekday,Clear,840,Medium
17,01:44,Weekday,Clear,302,Low
15,19:16,Weekend,Clear,1145,High
19,07:14,Weekday,Clear,1587,High
11,07:51,Weekday,Clear,778,Medium
2,22:14,Weekday,Clear,1883,High
10,02:30,Weekend,Clear,468,Low
13,11:45,Weekday,Clear,917,Medium
19,02:52,Weekend,Rainy,845,Medium
4,12:18,Weekday,Clear,1204,Medium
2,10:20,Weekday,Clear,801,Medium
15,19:11,Weekend,Foggy,1468,High
6,06:51,Weekday,Clear,1279,Medium
6,07:40,Weekday,Rainy,703,High
4,18:34,Weekday,Clear,762,Medium
19,14:49,Weekend,Clear,164,Low
19,02:32,Weekend,Clear,1018,Medium
15,11:20,Weekday,Clear,1626,High
15,14:21,Weekend,Clear,1526,Medium
7,16:42,Weekday,Clear,815,Medium
17,05:26,Weekend,Foggy,180,Medium
15,10:43,Weekend,Clear,850,Medium
12,00:09,Weekend,Rainy,1284,Medium
5,08:06,Weekend,Rainy,1104,High
8,12:10,Weekday,Rainy,525,Medium
4,13:10,Weekday,Clear,820,Medium
19,21:19,Weekend,Clear,1384,Medium
19,14:29,Weekend,Clear,1168,Medium
9,08:45,Weekday,Clear,1983,High
5,19:48,Weekday,Clear,1875,High
4,16:23,Weekday,Clear,1888,High
16,09:15,Weekend,Clear,957,High
2,07:24,Weekend,Rainy,534,High
10,11:15,Weekend,Clear,1018,Medium
10,06:08,Weekday,Clear,143,Low
18,18:04,Weekday,Clear,1398,High
8,10:51,Weekend,Clear,172,Low
8,16:37,Weekend,Clear,248,Low
11,10:21,Weekday,Clear,1951,High
6,12:23,Weekend,Rainy,643,Medium
6,12:06,Weekday,Rainy,1205,High
9,16:24,Weekday,Clear,963,Medium
4,00:16,Weekday,Foggy,577,Medium
1,18:40,Weekday,Foggy,1856,High
8,19:52,Weekday,Clear,1546,High
13,20:13,Weekday,Rainy,1100,High
16,02:30,Weekday,Clear,1887,High
8,11:56,Weekend,Rainy,1912,Medium
12,11:10,Weekday,Rainy,1663,High
14,17:16,Weekend,Clear,1203,High
6,10:07,Weekday,Rainy,377,Medium
8,01:34,Weekend,Rainy,989,Medium
15,08:58,Weekend,Clear,1782,High
8,07:17,Weekend,Clear,1032,High
7,04:14,Weekend,Clear,1889,Medium
2,20:54,Weekday,Clear,426,Low
13,03:30,Weekend,Rainy,1792,Medium
15,02:16,Weekday,Clear,1565,High
6,22:31,Weekend,Clear,558,Low
4,13:21,Weekend,Rainy,202,Medium
2,08:38,Weekend,Clear,362,Medium
3,05:34,Weekend,Clear,434,Low
3,19:17,Weekend,Foggy,108,High
19,02:50,Weekend,Clear,540,Low
13,20:46,Weekend,Rainy,167,Medium
3,15:58,Weekend,Rainy,1956,Medium
7,03:48,Weekend,Clear,1206,Medium
4,18:21,Weekday,Clear,1578,High
3,23:41,Weekend,Clear,1313,Medium
8,06:39,Weekday,Clear,708,Low
17,13:01,Weekday,Foggy,1424,High
8,18:20,Weekday,Clear,576,Medium
2,16:52,Weekday,Clear,804,Medium
19,20:34,Weekday,Clear,962,Medium
19,15:12,Weekend,Clear,1605,Medium
4,06:58,Weekend,Clear,1617,Medium
19,14:17,Weekend,Clear,1366,Medium
9,03:33,Weekday,Rainy,1397,High
10,15:12,Weekend,Rainy,443,Medium
19,21:07,Weekday,Rainy,1920,High
16,13:35,Weekday,Rainy,110,Medium
17,17:33,Weekday,Clear,1144,High
5,00:31,Weekend,Clear,1681,Medium
18,11:10,Weekend,Clear,434,Low
6,11:06,Weekday,Clear,443,Low
3,22:27,Weekend,Clear,406,Low
7,06:08,Weekend,Rainy,1072,Medium
6,06:27,Weekend,Rainy,1789,Medium
9,14:27,Weekday,Clear,1424,Medium
19,17:26,Weekday,Rainy,124,High
18,23:01,Weekday,Foggy,1655,High
17,21:33,Weekday,Clear,635,Low
13,03:20,Weekend,Clear,357,Low
11,12:58,Weekend,Clear,712,Low
12,09:15,Weekend,Foggy,646,High
9,23:30,Weekday,Clear,510,Low
6,20:50,Weekday,Clear,977,Medium
12,00:25,Weekend,Clear,1037,Medium
8,12:00,Weekday,Clear,704,Low
7,02:06,Weekend,Rainy,1688,Medium
4,05:02,Weekday,Clear,1251,Medium
12,03:21,Weekend,Clear,1568,Medium
13,18:02,Weekday,Clear,1311,High
15,13:39,Weekday,Clear,1338,Medium
6,18:53,Weekday,Clear,1640,High
6,04:58,Weekend,Clear,1292,Medium
9,11:08,Weekday,Clear,883,Medium
7,08:58,Weekend,Foggy,1008,High
3,04:17,Weekend,Foggy,500,Medium
14,01:35,Weekday,Clear,738,Low
17,15:26,Weekday,Clear,1454,Medium
12,11:50,Weekend,Clear,1846,Medium
12,00:59,Weekend,Clear,842,Medium
16,01:27,Weekend,Clear,1729,Medium
1,17:31,Weekday,Foggy,1784,High
3,10:36,Weekday,Clear,104,Low
9,19:50,Weekday,Clear,1691,High
18,11:59,Weekend,Rainy,1349,Medium
13,13:39,Weekend,Clear,1119,Medium
2,09:01,Weekend,Clear,1166,High
1,09:56,Weekday,Clear,1848,High
3,12:59,Weekday,Clear,1578,High
2,06:25,Weekend,Rainy,1383,Medium
11,18:30,Weekend,Rainy,1340,High
7,08:32,Weekend,Clear,1277,High
14,19:03,Weekend,Clear,1311,High
12,10:38,Weekday,Clear,1084,Medium
4,09:58,Weekday,Clear,554,Medium
12,08:01,Weekend,Rainy,146,High
17,02:07,Weekend,Clear,1179,Medium
3,06:21,Weekend,Clear,1787,Medium
18,15:40,Weekday,Clear,1549,High
8,07:21,Weekend,Clear,725,Medium
18,19:32,Weekday,Clear,436,Medium
2,20:52,Weekend,Clear,1930,Medium
19,23:44,Weekend,Rainy,1336,Medium
11,15:21,Weekday,Clear,873,Medium
12,18:24,Weekend,Clear,776,Medium
5,20:55,Weekend,Clear,240,Low
15,07:32,Weekday,Foggy,1712,High
12,20:02,Weekend,Clear,833,Medium
19,21:26,Weekend,Clear,579,Low
11,08:37,Weekend,Clear,561,Medium
1,20:42,Weekday,Rainy,462,Medium
13,06:22,Weekday,Rainy,988,High
7,18:36,Weekend,Foggy,1556,High
18,08:39,Weekend,Clear,1832,High
7,20:35,Weekday,Rainy,194,Medium
10,06:40,Weekday,Rainy,341,Medium
15,20:54,Weekend,Rainy,1818,Medium
18,19:03,Weekday,Clear,1334,High
9,19:22,Weekend,Clear,1334,High
2,21:54,Weekday,Clear,677,Low
5,07:21,Weekend,Clear,891,High
11,15:43,Weekend,Clear,1546,Medium
10,01:17,Weekend,Rainy,1796,Medium
1,11:58,Weekend,Clear,1172,Medium
12,04:50,Weekday,Clear,1511,High
15,21:16,Weekday,Clear,1587,High
10,09:21,Weekend,Foggy,218,High
15,06:00,Weekend,Rainy,1969,Medium
8,09:06,Weekend,Rainy,1840,High
3,20:40,Weekend,Clear,755,Low
10,17:32,Weekday,Clear,1979,High
3,20:44,Weekend,Foggy,1365,Medium
2,12:54,Weekday,Clear,996,Medium
7,05:43,Weekend,Clear,360,Low
18,19:44,Weekend,Rainy,1186,High
4,08:51,Weekend,Foggy,584,High
